market_ticker,timestamp,open,high,low,close,volume,open_interest,label
KXHIGHNY-25MAR29-B81.5,2025-03-30 04:00:00,0.29,0.99,0.25,0.99,10974,9444,1
KXHIGHNY-25MAR29-B79.5,2025-03-29 04:00:00,0.3,0.45,0.3,0.34,511,466,0
KXHIGHNY-25MAR29-B79.5,2025-03-30 04:00:00,0.41,0.46,0.01,0.01,15116,8688,0
KXHIGHNY-25MAR29-B77.5,2025-03-29 04:00:00,0.21,0.35,0.07,0.24,686,631,0
KXHIGHNY-25MAR29-B77.5,2025-03-30 04:00:00,0.25,0.27,0.01,0.01,4673,3252,0
KXHIGHNY-25MAR29-T77,2025-03-29 04:00:00,0.06,0.09,0.04,0.04,754,754,0
KXHIGHNY-25MAR29-T77,2025-03-30 04:00:00,0.02,0.04,0.01,0.01,2086,2594,0
KXHIGHNY-25MAR28-T66,2025-03-28 04:00:00,0.05,0.14,0.01,0.01,171,171,0
KXHIGHNY-25MAR28-T66,2025-03-29 04:00:00,0.01,0.24,0.01,0.01,12491,7740,0
KXHIGHNY-25MAR28-B65.5,2025-03-28 04:00:00,0.06,0.17,0.06,0.06,180,180,0
KXHIGHNY-25MAR28-B65.5,2025-03-29 04:00:00,0.06,0.57,0.01,0.01,16515,7860,0
KXHIGHNY-25MAR28-B63.5,2025-03-28 04:00:00,0.17,0.3,0.17,0.19,213,194,0
